novo_nome;nome_original;fonte;categoria;descricao;palavras_chave;ambiente;objetos;estilo;iluminacao;pessoas;usos;observacoes
cachorro-pequeno-colete-salva-vidas-rosa-piscina-borda-molhado-vista-serra-dia-ensolarado.png;122.png;foto-real;Pets;Cachorro pequeno de pelagem clara e longa, molhado, em pé sobre a borda da piscina usando colete salva-vidas rosa, enquanto uma mão ajusta a alça do colete. Ao fundo, jardim, banco amarelo e vista para a serra em dia ensolarado.;cachorro, cachorro pequeno, pelagem clara, molhado, colete salva-vidas, colete rosa, piscina, borda da piscina, azulejo azul, jardim, vista serra, ceu azul, nuvens, dia ensolarado, mao humana, seguranca pet, pet-friendly, natureza, area externa, close, plano medio, vertical, cores vivas, fofo, alegre;area externa, borda da piscina;colete salva-vidas rosa, piscina, azulejo azul, banco amarelo, jardim;natureza, alegre, autentico;luz natural, dia ensolarado;mão de uma pessoa ajustando o colete do cachorro (pessoa não aparece por completo);instagram, site, campanha pet-friendly, post estatico, story;foto vertical, boa qualidade, nitida, adequada para destaque de seguranca pet na piscina
cachorro-corgi-banheira-suite-vista-serra-janela-banheiro-luxo.jpg;31B5191C-FEC6-4E4B-8319-4E8FA66B5795 - Priscila Tavares.JPG;foto-real;Suítes & Quartos;Cachorro da raça corgi, de pelagem caramelo e branca, sentado dentro de uma banheira de imersão branca em banheiro de suíte, com vista para as montanhas da serra através de janela ampla. Ambiente com piso e bancada em mármore escuro.;cachorro, corgi, banheira, banheira de imersao, suite, banheiro, vista serra, janela, marmore preto, toalha branca, pet-friendly, hospedagem, conforto, natureza, montanha, vegetacao, luz natural, dia nublado, coleira colorida, close, plano medio, vertical, sofisticado, hotel, pousada;banheiro de suite, banheira de imersao;banheira, janela, bancada marmore, toalha, potinho de amenities;sofisticado, aconchegante;luz natural, dia nublado;nenhuma (apenas cachorro);instagram, site, campanha suites pet-friendly, post estatico;foto vertical, boa qualidade, ambiente de suite com destaque para banheira e vista
mulher-cachorro-border-collie-piscina-vista-serra-hospedes-pousada-dia-ensolarado.jpg;364EFBD8-5899-49C8-96B8-942D5E90378F.jpg;foto-real;Piscina & Lazer;Mulher sorridente na piscina ao lado de um cachorro de porte médio (border collie, pelagem preta e branca, olhos azuis), com a área social da pousada ao fundo — casario em tons terracota, guarda-sóis brancos e outros hóspedes. Dia ensolarado com céu parcialmente nublado.;mulher, cachorro, border collie, piscina, hospedes, area social, guarda-sol, casario terracota, vista serra, dia ensolarado, ceu nublado, prancha stand up paddle, cavalo ao fundo, pet-friendly, lazer, diversao, sorriso, experiencia, plano aberto, vertical, cores vivas, cachorro olhos azuis;piscina externa da pousada;piscina, guarda-sol, prancha de stand up paddle, casario terracota, hamacas;autentico, alegre, hospedagem pet-friendly;luz natural, dia ensolarado com nuvens;mulher, cachorro de porte medio;instagram, site, campanha pet-friendly, post estatico, carrossel;foto vertical, boa qualidade, imagem com bom potencial para banner de experiencia pet-friendly
cachorro-labrador-chocolate-oculos-sol-piscina-meio-submerso-vista-serra-casario-terracota.jpg;37742185-8D01-4FF9-9273-990873886626.jpg;foto-real;Piscina & Lazer;Cachorro labrador de pelagem chocolate usando óculos de sol, parcialmente submerso na piscina em foto com corte meio-água-meio-ar, mostrando as patas debaixo d'água. Ao fundo, casario terracota da pousada, espreguiçadeiras e montanhas da serra.;cachorro, labrador, chocolate, oculos de sol, piscina, meio submerso, split shot, patas na agua, coleira verde, casario terracota, espreguicadeira, guarda-sol, vista serra, montanha, ceu azul, dia ensolarado, pet-friendly, divertido, cachorro oculos, plano aberto, vertical, humor, outro cachorro ao fundo;piscina externa da pousada;piscina, oculos de sol, coleira, guarda-sol, espreguicadeiras, casario terracota;divertido, criativo, pet-friendly;luz natural, dia ensolarado, ceu azul;nenhuma (apenas cachorro);instagram, site, campanha pet-friendly, post estatico, reels;foto vertical, alta qualidade, angulo criativo split-shot subaquatico, forte para engajamento
mulher-flutuando-rio-natural-pedras-mata-relaxamento-natureza-serra.jpg;45A551AE-8952-4FF9-ACFB-7D0F5BDC2DCE.JPG;foto-real;Natureza & Paisagem;Mulher deitada e flutuando na água de um rio natural raso, cercada por pedras e vegetação densa, com colina verde ao fundo. Cena de relaxamento em contato com a natureza.;mulher, rio, cachoeira, pedras, mata, vegetacao, natureza, agua corrente, relaxamento, flutuando, biquini laranja, montanha verde, ceu azul, trilha, ecoturismo, serra, ar livre, bem-estar, plano aberto, vertical, tons verdes, sol, dia;rio natural em meio a mata;pedras, agua corrente, vegetacao densa, colina;natureza, relaxamento, autentico;luz natural, dia ensolarado;mulher;instagram, site, campanha natureza/ecoturismo, story, post estatico;"foto vertical, boa qualidade; nao ha elementos da pousada (piscina, casario) visiveis na cena, parece ser passeio/trilha externa proxima a serra, sem cachorro"
mulher-cachorro-labrador-chocolate-rede-suspensa-pergola-jardim-vista-serra.jpg;5A685039-F93B-4BD3-A04E-7DDA06608C70 - Luanna Brito.jpeg;foto-real;Áreas Comuns & Lounge;Mulher sorridente sentada em uma rede/cadeira suspensa com almofadas listradas azul e branco, sob pérgola coberta de trepadeiras, acompanhada de um cachorro de pelagem chocolate com coleira verde-limão. Ao fundo, jardim gramado, cerca de bambu e montanhas da serra.;mulher, cachorro, labrador, chocolate, rede suspensa, cadeira ninho, pergola, trepadeira, jardim, gramado, cerca bambu, vista serra, montanha, ceu nublado, area de lazer, pet-friendly, aconchego, descanso, coleira verde, plano medio, vertical, tons azuis e brancos;area externa coberta, pergola/varanda com rede suspensa;rede suspensa, almofadas listradas, pergola, trepadeira, cerca de bambu, jardim gramado;aconchegante, natureza, descontraido;luz natural, dia nublado;mulher, cachorro de porte medio;instagram, site, campanha pet-friendly, post estatico, carrossel;foto vertical, boa qualidade, ambiente aconchegante ideal para conteudo de lazer e conforto
mulher-cachorro-west-highland-terrier-branco-piscina-vista-serra-oculos-hospedes.jpg;67B06D9F-531D-4670-A9B8-3827C8A36F49 - Dra Sheila Freitas Invisalign doctor.jpeg;foto-real;Piscina & Lazer;Mulher de óculos sorrindo na piscina segurando um cachorro pequeno de pelagem branca e longa (west highland white terrier), molhado. Ao fundo, deque de madeira com vasos de plantas, montanhas verdes da serra e parte do casario.;mulher, cachorro, west highland white terrier, westie, pelagem branca, piscina, molhado, oculos, biquini roxo, deque madeira, vasos de planta, vista serra, montanha, ceu azul, casario terracota, pet-friendly, hospedes, lazer, sorriso, plano medio, vertical, cores vivas;piscina externa da pousada;piscina, deque de madeira, vasos de planta, casario terracota;autentico, alegre, pet-friendly;luz natural, dia ensolarado;mulher;instagram, site, campanha pet-friendly, post estatico, carrossel;foto vertical, boa qualidade, outro cachorro parcialmente visivel no canto superior esquerdo
piscina-borda-infinita-mulher-oculos-sol-cachorro-pequeno-colete-azul-vista-serra-dia.jpg;69F3237E-4092-41CF-A029-3D9B5C79DFD2 - Isabelle Batista.JPG;foto-real;Pets;Mulher apoiada na borda de piscina de borda infinita, usando oculos escuros, observa de perto um cachorro pequeno e peludo (pelagem bege/marrom) que usa colete salva-vidas azul e descansa sobre um flutuador na agua. Ao fundo, morros verdes da serra e ceu azul com nuvens.;piscina, borda infinita, infinity pool, cachorro pequeno, cachorro peludo, spitz, colete salva-vidas, colete pet, flutuador, vista serra, montanha verde, ceu azul, nuvens, mulher, oculos de sol, relogio, biquini, pet friendly, hospede com pet, dia ensolarado, luz natural, plano fechado, vertical, interacao pet tutor, carinho, area externa, natureza, serra;area externa - piscina de borda infinita com vista para a serra;piscina, colete salva-vidas para pet, flutuador/deck flutuante, oculos de sol, relogio;natural, aconchegante, lifestyle;luz natural, dia ensolarado, alto contraste;mulher;instagram, site, banner, campanha pet friendly;"boa qualidade, vertical, otima para destacar politica pet friendly e piscina; leve reflexo de sol"
rede-piscina-homem-tres-cachorros-pequenos-fachada-vermelha-vista-serra.jpg;722B0ED3-E463-4C4E-B687-6F2632ADA56F - Mariana De Carvalho Borghi.jpeg;foto-real;Pets;Homem deitado em rede/balanco acolchoado a beira da piscina, com dois cachorros de porte pequeno no colo (um preto e caramelo, outro branco e caramelo de orelhas em pe) e um terceiro cachorro ao fundo. Cena emoldurada por folhagem pendurada em primeiro plano. Ao fundo, piscina retangular, espreguicadeiras, guarda-sois brancos e fachada em tom terracota com janelas.;rede, balanco, piscina, cachorro pequeno, tres cachorros, area de lazer, fachada vermelha, fachada terracota, espreguicadeira, guarda-sol, hospede com pet, pet friendly, homem, folhagem, moldura natural, vista serra, dia, luz natural, descanso, relaxamento, vertical, area externa, varanda, multiplos pets;area externa - rede/balanco de piscina, area de lazer com vista para fachada e serra;rede/balanco com almofadas listradas, piscina, espreguicadeiras, guarda-sol fechado, folhagem em primeiro plano;aconchegante, lifestyle, natural;luz natural diurna, sombra parcial da folhagem;homem;instagram, site, banner, campanha pet friendly;boa qualidade, vertical, folhagem em primeiro plano cria efeito de moldura/desfoque proposital
cachorro-marrom-nadando-piscina-close-cabeca-fora-dagua-area-externa.jpg;8671F07D-A3B5-462D-B39F-E49B56F529B8 - Luanna Brito.jpeg;foto-real;Pets;Close-up de um cachorro de pelagem marrom/chocolate e orelhas caidas nadando em piscina, com a cabeca para fora da agua encarando a camera. Ao fundo, desfocados, uma rede/balanco de vime azul com almofada listrada, cadeiras de vime e vegetacao.;cachorro marrom, cachorro nadando, piscina, close, plano fechado, cabeca fora dagua, orelhas caidas, rede vime, area externa, pet friendly, natacao canina, olhos castanhos, gotas de agua, reflexo na agua, vertical, fundo desfocado, lazer pet, molhado;area externa - piscina;piscina, rede/balanco de vime ao fundo, cadeiras de vime;natural, close-up, lifestyle;luz natural diurna;nenhuma;instagram, site, stories, campanha pet friendly;"boa qualidade, vertical, otimo para destacar cachorro nadando com expressao carismatica; fundo desfocado (bokeh)"
mulher-cachorro-border-collie-nadando-rio-cachoeira-natural-pedras-agua-dourada.jpg;8E815D78-157E-4B6B-BEDF-C9290B6E298D - Barbara Siciliano.jpg;foto-real;Natureza & Paisagem;Mulher agachada dentro de um rio/poco natural de aguas esverdeadas-douradas, sorrindo enquanto acompanha um cachorro preto e branco (padrao border collie) que nada em sua direcao. Ao redor, pedras grandes, uma pequena cachoeira ao fundo e vegetacao densa de mata.;rio, cachoeira, natureza, mata atlantica, cachorro border collie, preto e branco, nadando, agua dourada, pedras, mulher, biquini, tatuagem, sorriso, mergulho, aventura pet, luz solar, dia, vertical, natural, interacao pet tutor, poco natural;area externa - rio/cachoeira natural com pedras e mata ao redor;pedras/rochas, cachoeira ao fundo, vegetacao densa;natural, aventura, lifestyle;luz solar direta filtrada pela mata, dia;mulher;instagram, site, stories, campanha experiencia natureza;"boa qualidade, vertical; nao ha elementos visiveis que confirmem se o local fica dentro da propriedade da pousada ou e um passeio proximo - confirmar contexto antes de usar como imagem institucional do espaco"
dois-cachorros-golden-retriever-pastor-australiano-bandana-vermelha-best-friends-banco-serra-neblina.jpg;8E92D445-1270-4429-AEB9-3FF0CC321777 - mariana nucci.jpeg;foto-real;Pets;Dois cachorros posando sobre banco branco decorado com azulejos coloridos: um golden retriever sentado com bandana vermelha bordada 'BEST' e placa de identificacao, e um cachorro de pelagem branca, marrom e mesclada (tipo pastor australiano), com um olho azul, deitado ao lado com bandana vermelha bordada 'FRIENDS' e adesivos decorativos na testa. Ao fundo, morros verdes cobertos de neblina e uma pedra grande.;dois cachorros, golden retriever, pastor australiano, aussie, bandana vermelha, best friends, banco azulejo, azulejo colorido, serra, neblina, montanha verde, pet friendly, dupla de pets, acessorio pet, identificacao pet, olho azul heterocromia, vertical, dia nublado, natureza, amizade entre pets;area externa - banco decorado com azulejos, vista para a serra com neblina;banco/mureta com azulejos coloridos, bandanas vermelhas bordadas, pedra grande ao fundo;fofo, editorial, natureza;luz difusa de dia nublado/neblina;nenhuma;instagram, site, campanha pet friendly, material institucional;boa qualidade, vertical, excelente para campanhas tematicas de amizade/pets, dia com neblina na serra
